|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#tedxzh|2010-10-20|8|False|195.75353935943318|('47.383', '8.536')
1|#esc|2010-05-29|5|False|62.66693182543458|('47.162', '8.291')
2|#bcbs10|2010-06-05|3|False|201.29057225428633|('47.667', '9.170')
3|#gotthard|2010-10-15|3|False|172.78440056863096|('47.567', '7.597')
4|#ff|2010-12-03|2|False|105.32286314729205|('47.588', '9.624')
5|#sechselaeuten|2010-04-19|1|True|187.07063955579306|('47.366', '8.545')
6|#swisscrmforum|2010-06-24|1|True|135.0385973972308|('47.411', '8.552')
7|#bosw|2010-03-25|1|True|100.4235689959112|('47.365', '8.539')
8|#iabc|2010-12-08|1|True|32.59626529391225|('47.364', '8.535')
9|#switzerland|2010-12-08|1|True|17.66601171237221|('47.364', '8.535')
